"yr","NAO.mean.win","NAO.mean.spr","NAO.mean.sum","NAO.mean.fal","NAO.ann.mean","NAO.ann.max","NAO.ann.min"
1966,-0.113333333333333,1.17,-1.49666666666667,-0.426666666666667,-0.22,1.68,-2.89
1967,1.58,0.246666666666667,0.45,-0.0333333333333333,0.56,3,-0.91
1968,0.153333333333333,-0.42,-0.97,-1.23333333333333,-0.62,1.65,-2
1969,-2.20333333333333,-0.0966666666666666,0.82,-0.28,-0.44,3.7,-3.16
1970,-0.613333333333333,1.42666666666667,0.18,-0.273333333333333,0.18,2.52,-1.78
1971,-0.326666666666667,-1.69666666666667,-0.503333333333333,0.31,-0.55,1.63,-3.15
1972,-0.153333333333333,0.843333333333333,-1.19666666666667,0.336666666666667,-0.04,2.11,-4.11
1973,1.21,-0.47,-0.106666666666667,-0.98,-0.09,2.32,-2.61
1974,1.20666666666667,-0.816666666666667,1.02333333333333,0.963333333333333,0.59,3.75,-2.3
1975,0.523333333333333,-1.02666666666667,0.82,-0.106666666666667,0.05,2.43,-2.42
1976,1.30333333333333,0.476666666666667,-1.13666666666667,-0.923333333333333,-0.07,1.87,-3.63
1977,-0.25,-0.48,-0.306666666666667,0.19,-0.21,1.64,-2.36
1978,0.523333333333333,-0.87,0.56,0.616666666666667,0.21,3.91,-3.12
1979,-1.1,0.22,0.933333333333333,0.69,0.19,2.53,-3.22
1980,-0.593333333333333,-0.813333333333333,0.37,-0.46,-0.37,1.72,-2.26
1981,0.683333333333333,-1.52,1.00666666666667,-0.533333333333333,-0.09,1.74,-3.04
1982,1.06333333333333,-0.583333333333333,0.626666666666667,1.55666666666667,0.67,2.64,-1.86
1983,1.78666666666667,-0.346666666666667,-0.28,0.203333333333333,0.34,4.82,-2.28
1984,0.713333333333333,-0.56,0.206666666666667,0.673333333333333,0.26,2.53,-2.34
1985,-1.01333333333333,-0.956666666666667,1.14,-1.04666666666667,-0.47,2.33,-2.87
1986,0.1,-0.02,-0.89,3.03333333333333,0.56,3.42,-4.02
1987,-0.69,0.4,-0.99,-0.76,-0.51,2.59,-2.99
1988,0.4,-2.12666666666667,0.996666666666667,-0.546666666666667,-0.32,1.85,-2.75
1989,3.19666666666667,0.05,0.46,-1.44,0.57,3.61,-2.97
1990,3.90666666666667,0.333333333333333,1.25,-0.576666666666667,1.23,5.11,-1.48
1991,0.16,0.376666666666667,0.436666666666667,0.383333333333333,0.34,2.71,-1.77
1992,1.82666666666667,0.123333333333333,2,0.466666666666667,1.11,4.52,-3.33
1993,1.83,-0.533333333333333,-0.403333333333333,-0.396666666666667,0.12,3.91,-4.13
1994,1.67666666666667,0.976666666666667,-1.51,0.886666666666667,0.51,3.68,-2.85
1995,2.29666666666667,-1.84333333333333,-1.28,-1.61333333333333,-0.61,3.13,-3.36
1996,-1.98666666666667,-0.126666666666667,-0.316666666666667,-1.60666666666667,-1.01,1.47,-4.7
1997,1.8,-2.12333333333333,0.763333333333333,-1.15,-0.18,5.26,-4.05
1998,1.13333333333333,-0.833333333333333,-0.75,1.47333333333333,0.25,2.44,-3.48
1999,0.66,0.95,-2.01,0.58,0.04,2.13,-3.67
2000,1.75333333333333,-0.713333333333333,-1.10333333333333,-0.0933333333333333,-0.04,4.37,-3.34
2001,-0.196666666666667,-0.06,-1.10333333333333,-0.453333333333333,-0.45,1.64,-3.83
2002,1.80333333333333,0.586666666666667,-1.63333333333333,-0.916666666666667,-0.04,3.01,-3.58
2003,0.856666666666667,-0.476666666666667,-0.183333333333333,-1.40666666666667,-0.3,1.34,-3.68
2004,0.0133333333333334,0.01,0.483333333333333,-0.486666666666667,0.01,2.51,-2.18
2005,-0.573333333333333,-0.14,0.453333333333333,-0.756666666666667,-0.26,1.82,-2.25
2006,-0.82,-0.02,-0.886666666666667,1.02,-0.18,3.03,-2.47
2007,1.40333333333333,-0.94,-1.88,-0.11,-0.38,2.03,-3.41
2008,1.33666666666667,-2.3,-1.13666666666667,-0.623333333333333,-0.68,1.85,-3.26
2009,-0.226666666666667,0.0700000000000001,-0.16,-1.19333333333333,-0.38,1.74,-3.73
2010,-2.36666666666667,-2.11333333333333,-1.44333333333333,-3.45333333333333,-2.35,0.06,-4.61
2011,0.413333333333333,0.63,-0.943333333333333,1.75,0.46,3.2,-3.39
2012,1.70333333333333,-1.92333333333333,-1.06333333333333,-1.24,-0.63,2.05,-3.21
2013,-0.976666666666667,0.886666666666667,1.37,1.07333333333333,0.59,3.54,-3.75
2014,1.55666666666667,-0.406666666666667,-0.776666666666667,0.00999999999999999,0.1,2.32,-2.17
2015,2.09,1.13333333333333,-0.78,2.21,1.16,4.22,-2.16
2016,1.03666666666667,-1.38666666666667,2.26,-0.326666666666667,0.39,2.45,-2.06
2017,0.866666666666667,NA,NA,NA,NA,NA,NA
